小区编号,小区面积,300m公交站点计数,300m站点密度,300m地铁站数量,300m地铁站点密度,地铁站周围300m公交线路数,:地铁站周围500m公交线路数,支路长度（m）,次干道长度（m）,主干道长度（m）,快速路长度（m）,总长（m）,支路密度（km/km2）,次干道密度(km/km2),主干道密度(km/km2),快速路密度(km/km2),总道路密度(km/km2),快线长度（m）,普通线长度（m）,晚班车长度（m）,支线长度（m）,住宅POI集聚水平（签到次数/km2）,政府机构POI集聚水平（签到次数/km2）,娱乐POI集聚水平（签到次数/km2）,未知分类POI集聚水平（签到次数/km2）,旅游景点POI集聚水平（签到次数/km2）,酒店宾馆POI集聚水平（签到次数/km2）,金融POI集聚水平（签到次数/km2）,教育POI集聚水平（签到次数/km2）,交通设施POI集聚水平（签到次数/km2）,地点标志POI集聚水平（签到次数/km2）,飞机场POI集聚水平（签到次数/km2）,公共设施POI集聚水平（签到次数/km2）,公司POI集聚水平（签到次数/km2）,购物POI集聚水平（签到次数/km2）,公交线路长度（m）,公交线路密度（km/km2）,公交线网长度,公交线网密度(km/km2),轨道线路长度,轨道线网密度(km/km2),建成环境FAC1_1,建成环境FAC2_1,建成环境FAC3_1,建成环境综合评分,人口（人）,人口密度（人/km2）,小汽车可达性（分钟）,公交可达性（分钟）,延时指数,300m内公交站300m服务面积,餐饮300m内公交站服务范围内POI（签到次数/km2）,地点标志300m内公交站服务范围内POI（签到次数/km2）,飞机场300m内公交站服务范围内POI（签到次数/km2）,公共设施300m内公交站服务范围内POI（签到次数/km2）,公司300m内公交站服务范围内POI（签到次数/km2）,购物300m内公交站服务范围内POI（签到次数/km2）,交通设施300m内公交站服务范围内POI（签到次数/km2）,教育300m内公交站服务范围内POI（签到次数/km2）,金融300m内公交站服务范围内POI（签到次数/km2）,酒店宾馆300m内公交站服务范围内POI（签到次数/km2）,旅游景点300m内公交站服务范围内POI（签到次数/km2）,未知分类300m内公交站服务范围内POI（签到次数/km2）,娱乐300m内公交站服务范围内POI（签到次数/km2）,政府机构300m内公交站服务范围内POI（签到次数/km2）,住宅300m内公交站服务范围内POI（签到次数/km2）,餐饮集聚300m内公交站服务范围内POI（签到次数/km2）,地点标志集聚300m内公交站服务范围内POI（签到次数/km2）,飞机场集聚300m内公交站服务范围内POI（签到次数/km2）,公共设施集聚300m内公交站服务范围内POI（签到次数/km2）,公司集聚300m内公交站服务范围内POI（签到次数/km2）,购物集聚300m内公交站服务范围内POI（签到次数/km2）,交通设施集聚300m内公交站服务范围内POI（签到次数/km2）,教育集聚300m内公交站服务范围内POI（签到次数/km2）,金融集聚300m内公交站服务范围内POI（签到次数/km2）,酒店宾馆集聚300m内公交站服务范围内POI（签到次数/km2）,旅游景点集聚300m内公交站服务范围内POI（签到次数/km2）,未知分类集聚300m内公交站服务范围内POI（签到次数/km2）,娱乐集聚300m内公交站服务范围内POI（签到次数/km2）,政府机构集聚300m内公交站服务范围内POI（签到次数/km2）,住宅集聚300m内公交站服务范围内POI（签到次数/km2）,FAC1_1公交站点服务范围,FAC2_1公交站点服务范围,FAC3_1公交站点服务范围,,0时签到总数,1时签到总数,2时签到总数,3时签到总数,4时签到总数,5时签到总数,6时签到总数,7时签到总数,8时签到总数,9时签到总数,10时签到总数,11时签到总数,12时签到总数,13时签到总数,14时签到总数,15时签到总数,16时签到总数,17时签到总数,18时签到总数,19时签到总数,20时签到总数,21时签到总数,22时签到总数,23时签到总数,签到总数总计
10,3.422193,5,1.461051437,0,0,,,0,0,0,4673.488776,4673.488776,0,0,0,1.365641498,1.365641498,0,5744.887586,0,301.0161939,73.63699242,0,3.798733736,8.474098334,0,2.922102874,0,1.753261724,0,0.584420575,0,0.292210287,21.62356127,0,87986.84641,25.71066168,6605.449699,1.930180355,,,-0.36701288,-0.274358355,-0.128089893,-0.294936117,11912.50459,3480.95639,2009.310309,7483.581967,3.724453079,0.7930903,1,1,,,82,,,21,,9,,,,,24,1.260890469,1.260890469,0,0,103.3930184,0,0,26.47869984,0,11.34801422,0,0,0,0,30.26137125,-0.508065333,0.232902987,-0.384878122,-0.327464224,32,5,4,7,2,2,5,8,18,20,16,17,20,20,9,8,19,29,23,18,31,29,20,25,387
11,1.86235,,,0,0,,,5484.478972,0,0,1474.329183,6958.808155,2.944923871,0,0,0.791649896,3.736573767,0,663.7604969,0,0,0,0,23.08910785,3.221735979,0,0,0,0,0,0.536955996,0,0,0,0,11956.09734,6.419898159,2041.738064,1.096323497,,,-0.353795383,-0.28481952,-0.300885119,-0.326245045,1033.863516,555.1392144,1787.113779,9213.027663,5.155255234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,1,0,0,0,0,1,3,1,1,1,2,4,2,2,3,0,3,1,1,6,4,9,50
12,2.257433,9,3.986829288,0,0,,,1516.571741,1252.721091,600.0055507,1092.793094,4462.091477,0.671812515,0.554931682,0.265791078,0.484086613,1.976621887,0,2646.355441,0,0,5.758753416,0,0,0,0,0,0,0,1.328943096,0.442981032,0,16.39029818,1.771924128,5.758753416,30862.63794,13.6715632,2143.080277,0.949343913,,,-0.371305933,-0.251234545,-0.289833883,-0.325568522,12355.27841,5473.153981,2592.084025,8679.130658,3.348321495,1.918066,3,8,,54,3,5,,6,,5,,,,,13,1.56407548,4.170867947,0,28.15335864,1.56407548,2.606792467,0,3.12815096,0,2.606792467,0,0,0,0,6.777660414,-0.540887673,-0.310692692,-0.034356688,-0.394943809,6,3,2,2,1,1,3,4,1,4,7,1,2,4,2,2,2,2,3,4,2,3,3,9,73
13,4.050326,14,3.456511896,0,0,,,3939.251398,1251.301441,0,0,5190.552839,0.97257638,0.308938451,0,0,1.281514831,0,0,0,0,0.74068112,0,4.69098043,83.45007291,0,75.05568688,0,0,17.52945318,506.132099,0,34.07133154,0.246893707,0.493787414,41374.99918,10.21522692,5190.184983,1.28142401,,,-0.31420723,-0.213740616,-0.305303083,-0.288319961,5254.064397,1297.195435,3646.707392,15417.1483,4.22768998,2.1349354,107,2045,,130,1,2,71,,,297,,338,18,,2,50.11861249,957.8744162,0,60.89177218,0.468398248,0.936796495,33.25627558,0,0,139.1142795,0,158.3186077,8.431168456,0,0.936796495,-0.414969916,-0.284824502,-0.015310531,-0.310724409,165,74,44,18,18,19,24,65,74,97,116,146,175,209,198,151,151,164,225,216,182,143,179,183,3036
14,8.742376,7,0.800697659,0,0,,,7312.126828,989.7774792,0,0,8301.904307,0.836400405,0.113216073,0,0,0.949616478,0,1007.520767,0,3585.991121,0,0,17.27219237,62.45441743,0,0,0,0,0.5719269,0,0,1.487009939,0,0.800697659,34301.56291,3.923597305,10294.75382,1.177569327,,,-0.35801026,-0.279253237,-0.301826424,-0.327436779,3823.432468,437.3447754,3383.858316,12672.32211,3.744932833,1.744071,1,,,12,,7,,,,,,473,141,,,0.573371153,0,0,6.880453835,0,4.01359807,0,0,0,0,0,271.2045553,80.84533256,0,0,-0.515107388,-0.379794848,-0.096591599,-0.40615064,29,20,9,7,2,1,2,15,21,30,24,32,39,42,44,54,41,53,37,58,32,41,51,39,723
15,33.965572,21,0.618273115,0,0,,,7620.902493,0,0,0,7620.902493,0.224371387,0,0,0,0.224371387,0,0,0,0,0,0,0.47106523,0.176649461,0,0.058883154,0,0,0.088324731,0,0,0,0,0,30274.74703,0.891336293,8860.517012,0.260867593,,,-0.370089869,-0.270088128,-0.304646209,-0.332500989,5957.964135,175.4118592,5244.886037,17770.77177,3.388209323,4.1401763,6,2,,1,1,1,3,,,159,,34,1,,,1.449213648,0.483071216,0,0.241535608,0.241535608,0.241535608,0.724606824,0,0,38.40416168,0,8.212210673,0.241535608,0,0,-0.524485711,-0.327813786,-0.078640725,-0.39728679,1,2,0,0,1,0,0,0,1,1,1,2,2,0,0,1,4,4,0,0,3,3,2,1,29
16,3.354007,67,19.97610619,2,0.596301677,17,20,14251.46493,3970.401141,255.2302628,0,18477.09633,4.249086221,1.18377843,0.076097117,0,5.508961768,0,11976.69633,0,5582.532358,238.8188218,14.31124026,352.4142913,2505.063347,14.6093911,449.0151631,3.577810064,152.0569277,514.3101967,208.1092854,0,328.2640734,54.85975432,548.5975432,238598.3173,71.13828842,13839.92766,4.12638604,4782.961818,1.426044077,0.298452939,0.12207755,0.154715982,0.226241246,41457.78563,12360.67356,2005.662887,7646.48224,3.812446393,6.5833182,1590,738,,1130,228,3155,2081,353,12,1536,49,9176,1419,49,1355,241.5195425,112.1015235,0,171.6459642,34.632991,479.241608,316.1019925,53.62037642,1.822789,233.316992,7.443055084,1393.825989,215.5447993,7.443055084,205.8232579,-0.000692941,-0.180225002,-0.070342192,-0.05208947,1035,684,379,207,96,94,126,320,527,735,730,846,1088,1115,1019,931,981,975,963,1120,1131,1206,1176,1326,18810
17,1.548081,41,26.4844023,1,0.645961032,26,26,8734.423121,3531.45735,2747.387708,0,15013.26818,5.642096971,2.281183833,1.774705398,0,9.697986203,0,5744.885683,0,2607.990733,380.4710477,0.645961032,171.1796734,169.2417903,0,224.7944391,0,46.50919429,364.9679829,21.96267508,0,3.875766191,0.645961032,2756.961684,138477.7028,89.45119975,5539.334609,3.578194299,1735.367258,1.120979625,0.35213524,0.419761907,-0.438159562,0.20319228,18230.33498,11776.08599,2038.253086,7298.452965,3.580739318,3.6808522,664,657,,589,140,5753,902,175,9,819,,7514,1444,47,788,180.3930079,178.4912744,0,160.0172916,38.03467034,1562.953275,245.0519475,47.54333793,2.44508595,222.5028215,0,2041.375092,392.3004569,12.76878219,214.0808588,0.312080483,-0.279132909,-0.140765355,0.099953057,366,185,92,56,50,34,57,143,484,258,285,291,667,291,284,293,254,335,502,245,319,335,375,424,6625
18,5.603821,15,2.676745028,2,0.356899337,2,2,15353.19542,0,1591.420572,776.4273963,17721.04339,2.739772634,0,0.283988474,0.138553212,3.162314319,0,3139.566192,0,3569.128688,663.6543173,0,1.427597348,13.0268258,0,0,0,0,215.2103003,2.676745028,0,1.784496685,14.27597348,8.030235084,60673.47313,10.82716117,8075.873976,1.441137034,5479.122787,0.977747645,-0.36701242,-0.268888224,-0.188654997,-0.306281516,16580.4208,2958.770596,2076.510267,7073.579932,3.406474817,2.1304207,141,20,,458,26,3,1188,1,,14,,217,135,46,1078,66.18411096,9.387817157,0,214.9810129,12.2041623,1.408172574,557.6363392,0.469390858,0,6.57147201,0,101.8578162,63.36776581,21.59197946,506.0033448,-0.433506556,-0.189012434,0.177451451,-0.264496497,380,154,76,59,62,61,67,145,250,239,230,201,262,196,181,212,237,242,262,207,276,296,380,500,5175
19,2.881826,26,9.022057543,5,1.735011066,10,8,13842.66169,4382.999913,838.5173561,0,19064.17896,4.803434243,1.52091067,0.290967378,0,6.615312291,0,671.7465934,0,3424.2748,234.9204983,0,22.20814164,282.4598015,0,1.735011066,0.347002213,10.4100664,160.3150225,6.59304205,0,0.347002213,7.63404869,12.49207967,44154.51045,15.32171285,5657.583529,1.963194006,9007.540142,3.125636365,-0.317091985,-0.281083044,-0.241499498,-0.292686806,3107.802926,1078.414493,2090.454825,7363.997279,3.522677071,3.6342411,397,23,,15,9,2562,1392,16,2,13,,1240,113,1,981,109.2387624,6.328694043,0,4.127409158,2.476445495,704.9614843,383.0235699,4.402569769,0.550321221,3.577087937,0,341.1991571,31.09314899,0.275160611,269.932559,-0.28652621,-0.371782868,-0.082060386,-0.265361855,97,59,27,11,8,7,15,38,66,129,116,124,129,142,123,133,131,135,130,122,145,150,133,126,2296
20,1.500715,29,19.32412217,1,0.66634904,26,26,6217.240755,3517.064228,3029.590485,0,12763.89547,4.14285241,2.343592373,2.018764712,0,8.505209495,0,6654.506576,0,2488.626966,821.6083667,14.65967889,223.2269285,294.5262758,0,21.32316929,2.665396161,4.664443282,166.5872601,409.1383107,0,69.96664923,73.29839443,54.6406213,139781.6976,93.14340005,5645.534976,3.761896813,,,-0.02038883,-0.330638473,0.318866704,-0.023705494,15124.64887,10078.29526,2117.533881,6775.567007,3.199744319,3.5256784,780,687,,285,144,3209,863,33,4,198,,1221,448,24,4230,221.2340184,194.8561162,0,80.83550672,40.8432034,910.1794423,244.775587,9.359900778,1.134533428,56.15940467,0,346.3163288,127.0677439,6.807200566,1199.7691,-0.066949766,-0.187082626,-0.142036172,-0.10680672,312,156,80,40,26,28,34,75,113,125,126,138,183,217,141,136,139,156,173,180,196,236,292,379,3681
21,6.165826,9,1.459658446,0,0,,,5664.986073,0,0,0,5664.986073,0.918771641,0,0,0,0.918771641,0,0,0,0,1.135289903,0,4.216791067,7.784845048,0,2.757132621,0,0,0,0.162184272,0,0.162184272,0.324368544,0,24956.54896,4.04755972,7133.731842,1.156979104,,,-0.365592304,-0.271575774,-0.301540995,-0.329725711,836.5980108,135.6830392,3938.322382,14318.05,3.635570837,2.0012677,5,16,,,,,,,,6,,36,,,9,2.498416379,7.994932412,0,0,0,0,0,0,0,2.998099655,0,17.98859793,0,0,4.497149482,-0.547199492,-0.336363197,-0.072058784,-0.411379415,1,1,0,0,0,0,0,0,2,1,7,9,13,12,8,8,16,3,3,5,5,4,1,7,106
22,60.216858,20,0.332132905,0,0,,,5152.045782,0,0,0,5152.045782,0.085558197,0,0,0,0.085558197,0,0,0,0,0,0,6.161065395,4.882353709,0.531412649,0.714085747,0,0,0,0.083033226,0,0.016606645,0.332132905,0.232493034,17706.37798,0.294043538,5525.629439,0.091762168,,,-0.365585543,-0.273560591,-0.301044284,-0.330092878,9736.13823,161.6845939,5210.383505,16857.62056,3.235389592,4.0264254,25,1335,,,,,59,,,18,11,680,330,,2,6.208981296,331.5596012,0,0,0,0,14.65319586,0,0,4.470466533,2.73195177,168.8842913,81.95855311,0,0.496718504,-0.511029944,-0.384817206,-0.108913937,-0.40714742,19,14,5,4,3,2,13,19,22,24,31,41,54,49,56,57,64,72,60,39,38,34,35,30,785
23,6.167654,8,1.297089623,0,0,,,6556.826588,0,0,0,6556.826588,1.063098966,0,0,0,1.063098966,0,0,0,0,0,0,605.5787176,5.999039505,0.972817217,29.67092512,0,0.324272406,0,0.972817217,0,1.459225826,0,0,6668.891182,1.081268693,2958.504721,0.479680722,,,0.084255182,-0.653110352,-0.205750908,-0.152679159,2163.104291,350.7175161,5223.542268,16345.37193,3.129173862,1.3694435,1,2,,6,,,,2,,154,4,28,1,,,0.730223627,1.460447255,0,4.381341764,0,0,0,1.460447255,0,112.4544386,2.920894509,20.44626157,0.730223627,0,0,-0.475829219,-0.312116335,-0.084890152,-0.366146377,195,137,85,64,49,70,125,114,132,139,136,157,183,161,190,215,233,208,201,229,222,248,237,256,3986
24,30.855133,5,0.162047592,0,0,,,570.4028155,1569.703603,0,0,2140.106419,0.018486481,0.050873338,0,0,0.069359818,0,769.1108011,0,143.1885582,0.518552294,0,0,30.36771872,1.490837845,0,0,0,0,0.162047592,0,0.259276147,0,0.032409518,11428.30215,0.370385768,2017.754682,0.065394457,,,-0.370487553,-0.269517279,-0.304710605,-0.332597412,5344.592902,173.2156819,4012,36203.79072,9.023876052,1.2700253,4,1,,8,1,6,,,,,2,33,,,171,3.149543556,0.787385889,0,6.299087113,0.787385889,4.724315335,0,0,0,0,1.574771778,25.98373434,0,0,134.642987,-0.545955675,-0.329039615,-0.064425058,-0.407621614,68,30,13,5,11,4,12,18,37,37,29,42,50,64,30,53,52,46,59,62,60,52,86,95,1015
25,11.024738,7,0.634935724,0,0,,,5011.555576,173.323973,0,0,5184.879549,0.454573667,0.015721369,0,0,0.470295035,0,88.94063831,0,1387.273246,0.453525517,0,0,1.451281654,0.453525517,0,0,0,0.27211531,0,0,11.33813792,0.090705103,0,17650.53657,1.600993744,2590.890061,0.235006951,,,-0.370683569,-0.257832745,-0.303499475,-0.32965816,2049.459,185.8963905,3320.593429,12682.55714,3.819364644,1.8130502,7,,,4,19,8,,,,1,,53,142,,31,3.860896957,0,0,2.206226833,10.47957745,4.412453665,0,0,0,0.551556708,0,29.23250553,78.32105256,0,17.09825795,-0.511278134,-0.324211571,-0.134511137,-0.399367397,4,6,2,0,1,0,3,1,2,10,8,17,16,10,17,10,10,16,12,6,6,6,9,6,178
26,5.824981,12,2.060092557,0,0,,,3680.301749,5926.259956,0,0,9606.561705,0.63181352,1.017387002,0,0,1.649200522,0,0,0,0,0.858371899,0,0,45.665385,0,89.44235183,0,0,10.30046278,193.9920491,0,1.030046278,9.785439643,0.343348759,51191.41956,8.7882552,8757.483427,1.503435535,,,-0.289832089,-0.242618554,-0.231636055,-0.26638193,4683.401073,804.0199741,3458.501027,13518.49558,3.908773042,2.3713825,18,1130,,1177,55,2,52,,,134,,37,,,404,7.590508912,476.5152817,0,496.3349439,23.19322168,0.843389879,21.92813686,0,0,56.5071219,0,15.60271276,0,0,170.3647556,-0.397648696,0.100398204,0.591635705,-0.102336998,114,92,32,26,12,18,30,38,68,79,91,96,117,141,114,127,135,153,138,126,155,156,136,165,2359
